scenario,timestamp,glucose_mgdl,sqi_pct,cgm_age_s,iob_u,cob_g,activity_state,activity_confidence_pct,motion_rms_5m,motion_rms_15m,active_minutes,post_exercise_minutes,basal_u_per_hr,insulin_30m_u,insulin_120m_u,carbs_30m_g,carbs_120m_g,physiology_present,trend_mgdl_min
stable_overnight,3900,110.01,99.0,0.0,0.279,0.0,sedentary,96.0,2.978,2.414,23.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.038
stable_overnight,4200,109.81,99.0,0.0,0.277,0.0,sedentary,96.0,2.93,2.406,24.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.041
stable_overnight,4500,109.59,99.0,0.0,0.275,0.0,sedentary,96.0,2.886,2.401,25.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.044
stable_overnight,4800,109.37,99.0,0.0,0.273,0.0,sedentary,96.0,2.849,2.4,26.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.045
stable_overnight,5100,109.14,99.0,0.0,0.27,0.0,sedentary,96.0,2.821,2.403,27.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.044
stable_overnight,5400,108.94,99.0,0.0,0.266,0.0,sedentary,96.0,2.804,2.41,28.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.042
stable_overnight,5700,108.74,99.0,0.0,0.262,0.0,sedentary,96.0,2.8,2.421,29.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.038
stable_overnight,6000,108.58,99.0,0.0,0.258,0.0,sedentary,96.0,2.808,2.435,30.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.033
stable_overnight,6300,108.44,99.0,0.0,0.254,0.0,sedentary,96.0,2.828,2.451,31.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.027
stable_overnight,6600,108.34,99.0,0.0,0.25,0.0,sedentary,96.0,2.859,2.469,32.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.02
stable_overnight,6900,108.27,99.0,0.0,0.246,0.0,sedentary,96.0,2.898,2.489,33.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.013
stable_overnight,7200,108.25,99.0,0.0,0.242,0.0,sedentary,96.0,2.944,2.509,34.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.005
stable_overnight,7500,108.26,99.0,0.0,0.237,0.0,sedentary,96.0,2.993,2.528,35.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.003
stable_overnight,7800,108.32,99.0,0.0,0.234,0.0,sedentary,96.0,3.043,2.547,36.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.011
stable_overnight,8100,108.41,99.0,0.0,0.23,0.0,sedentary,96.0,3.09,2.563,37.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.018
stable_overnight,8400,108.53,99.0,0.0,0.227,0.0,sedentary,96.0,3.131,2.578,38.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.025
stable_overnight,8700,108.68,99.0,0.0,0.225,0.0,sedentary,96.0,3.165,2.589,39.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.03
stable_overnight,9000,108.86,99.0,0.0,0.223,0.0,sedentary,96.0,3.188,2.596,40.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.035
stable_overnight,9300,109.04,99.0,0.0,0.221,0.0,sedentary,96.0,3.199,2.6,41.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.038
stable_overnight,9600,109.24,99.0,0.0,0.22,0.0,sedentary,96.0,3.198,2.599,42.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.039
stable_overnight,9900,109.43,99.0,0.0,0.22,0.0,sedentary,96.0,3.185,2.595,43.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.039
stable_overnight,10200,109.62,99.0,0.0,0.22,0.0,sedentary,96.0,3.16,2.587,44.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.038
stable_overnight,10500,109.8,99.0,0.0,0.221,0.0,sedentary,96.0,3.125,2.575,45.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.035
meal_rise,10800,110.04,97.0,0.0,0.35,60.0,light,94.0,4.0,3.5,20.0,0.0,0.9,0.5,1.0,40.0,80.0,1,0.0
meal_rise,11100,112.87,97.0,0.0,0.351,58.3,light,94.0,4.049,3.497,21.0,0.0,0.9,0.53,1.04,39.2,78.9,1,0.565
meal_rise,11400,115.71,97.0,0.0,0.353,56.6,light,94.0,4.093,3.488,22.0,0.0,0.9,0.56,1.08,38.4,77.8,1,0.568
meal_rise,11700,118.58,97.0,0.0,0.354,54.9,light,94.0,4.126,3.473,23.0,0.0,0.9,0.59,1.12,37.6,76.7,1,0.574
meal_rise,12000,121.49,97.0,0.0,0.356,53.2,light,94.0,4.146,3.454,24.0,0.0,0.9,0.62,1.16,36.8,75.6,1,0.582
meal_rise,12300,124.47,97.0,0.0,0.357,51.5,light,94.0,4.149,3.432,25.0,0.0,0.9,0.65,1.2,36.0,74.5,1,0.596
meal_rise,12600,127.56,97.0,0.0,0.359,49.8,light,94.0,4.136,3.407,26.0,0.0,0.9,0.68,1.24,35.2,73.4,1,0.618
meal_rise,12900,130.81,97.0,0.0,0.36,48.1,light,94.0,4.108,3.382,27.0,0.0,0.9,0.71,1.28,34.4,72.3,1,0.651
meal_rise,13200,134.31,97.0,0.0,0.361,46.4,light,94.0,4.069,3.358,28.0,0.0,0.9,0.74,1.32,33.6,71.2,1,0.699
meal_rise,13500,138.12,97.0,0.0,0.363,44.7,light,94.0,4.021,3.337,29.0,0.0,0.9,0.77,1.36,32.8,70.1,1,0.762
meal_rise,13800,142.3,97.0,0.0,0.364,43.0,light,94.0,3.971,3.32,30.0,0.0,0.9,0.8,1.4,32.0,69.0,1,0.837
meal_rise,14100,146.84,97.0,0.0,0.366,41.3,light,94.0,3.925,3.308,31.0,0.0,0.9,0.83,1.44,31.2,67.9,1,0.908
meal_rise,14400,151.6,97.0,0.0,0.367,39.6,light,94.0,3.886,3.301,32.0,0.0,0.9,0.86,1.48,30.4,66.8,1,0.952
meal_rise,14700,156.36,97.0,0.0,0.369,37.9,light,94.0,3.861,3.301,33.0,0.0,0.9,0.89,1.52,29.6,65.7,1,0.952
meal_rise,15000,160.9,97.0,0.0,0.37,36.2,light,94.0,3.85,3.306,34.0,0.0,0.9,0.92,1.56,28.8,64.6,1,0.908
meal_rise,15300,165.08,97.0,0.0,0.371,34.5,light,94.0,3.856,3.318,35.0,0.0,0.9,0.95,1.6,28.0,63.5,1,0.837
meal_rise,15600,168.89,97.0,0.0,0.373,32.8,light,94.0,3.878,3.335,36.0,0.0,0.9,0.98,1.64,27.2,62.4,1,0.762
meal_rise,15900,172.39,97.0,0.0,0.374,31.1,light,94.0,3.913,3.355,37.0,0.0,0.9,1.01,1.68,26.4,61.3,1,0.699
meal_rise,16200,175.64,97.0,0.0,0.376,29.4,light,94.0,3.958,3.379,38.0,0.0,0.9,1.04,1.72,25.6,60.2,1,0.651
meal_rise,16500,178.73,97.0,0.0,0.377,27.7,light,94.0,4.008,3.404,39.0,0.0,0.9,1.07,1.76,24.8,59.1,1,0.618
meal_rise,16800,181.71,97.0,0.0,0.379,26.0,light,94.0,4.056,3.428,40.0,0.0,0.9,1.1,1.8,24.0,58.0,1,0.596
meal_rise,17100,184.62,97.0,0.0,0.38,24.3,light,94.0,4.099,3.451,41.0,0.0,0.9,1.13,1.84,23.2,56.9,1,0.582
meal_rise,17400,187.49,97.0,0.0,0.381,22.6,light,94.0,4.13,3.471,42.0,0.0,0.9,1.16,1.88,22.4,55.8,1,0.574
meal_rise,17700,190.33,97.0,0.0,0.383,20.9,light,94.0,4.147,3.486,43.0,0.0,0.9,1.19,1.92,21.6,54.7,1,0.568
meal_rise,18000,193.16,97.0,0.0,0.384,19.2,light,94.0,4.148,3.496,44.0,0.0,0.9,1.22,1.96,20.8,53.6,1,0.565
meal_rise,18300,195.98,97.0,0.0,0.386,17.5,light,94.0,4.133,3.5,45.0,0.0,0.9,1.25,2.0,20.0,52.5,1,0.563
meal_rise,18600,198.79,97.0,0.0,0.387,15.8,light,94.0,4.103,3.498,46.0,0.0,0.9,1.28,2.04,19.2,51.4,1,0.562
meal_rise,18900,201.59,97.0,0.0,0.389,14.1,light,94.0,4.062,3.489,47.0,0.0,0.9,1.31,2.08,18.4,50.3,1,0.561
meal_rise,19200,204.39,97.0,0.0,0.39,12.4,light,94.0,4.014,3.475,48.0,0.0,0.9,1.34,2.12,17.6,49.2,1,0.561
meal_rise,19500,207.2,97.0,0.0,0.391,10.7,light,94.0,3.964,3.457,49.0,0.0,0.9,1.37,2.16,16.8,48.1,1,0.56
meal_rise,19800,210.0,97.0,0.0,0.393,9.0,light,94.0,3.918,3.435,50.0,0.0,0.9,1.4,2.2,16.0,47.0,1,0.56
meal_rise,20100,212.8,97.0,0.0,0.394,7.3,light,94.0,3.882,3.41,51.0,0.0,0.9,1.43,2.24,15.2,45.9,1,0.56
meal_rise,20400,215.6,97.0,0.0,0.396,5.6,light,94.0,3.858,3.385,52.0,0.0,0.9,1.46,2.28,14.4,44.8,1,0.56
meal_rise,20700,218.4,97.0,0.0,0.397,3.9,light,94.0,3.85,3.361,53.0,0.0,0.9,1.49,2.32,13.6,43.7,1,0.56
meal_rise,21000,221.2,97.0,0.0,0.399,2.2,light,94.0,3.858,3.34,54.0,0.0,0.9,1.52,2.36,12.8,42.6,1,0.56
meal_rise,21300,224.0,97.0,0.0,0.4,0.5,light,94.0,3.883,3.322,55.0,0.0,0.9,1.55,2.4,12.0,41.5,1,0.56
falling_after_bolus,21600,225.5,98.0,0.0,0.44,0.0,sedentary,92.0,3.3,2.6,15.0,0.0,0.7,1.8,3.0,0.0,0.0,1,0.0
falling_after_bolus,21900,222.09,98.0,0.0,0.462,0.0,sedentary,92.0,3.296,2.617,15.5,0.0,0.7,1.86,3.09,0.0,0.0,1,-0.681
falling_after_bolus,22200,218.69,98.0,0.0,0.493,0.0,sedentary,92.0,3.284,2.633,16.0,0.0,0.7,1.92,3.18,0.0,0.0,1,-0.681
falling_after_bolus,22500,215.27,98.0,0.0,0.537,0.0,sedentary,92.0,3.265,2.648,16.5,0.0,0.7,1.98,3.27,0.0,0.0,1,-0.683
falling_after_bolus,22800,211.85,98.0,0.0,0.596,0.0,sedentary,92.0,3.241,2.662,17.0,0.0,0.7,2.04,3.36,0.0,0.0,1,-0.685
falling_after_bolus,23100,208.4,98.0,0.0,0.673,0.0,sedentary,92.0,3.214,2.674,17.5,0.0,0.7,2.1,3.45,0.0,0.0,1,-0.69
falling_after_bolus,23400,204.9,98.0,0.0,0.772,0.0,sedentary,92.0,3.186,2.684,18.0,0.0,0.7,2.16,3.54,0.0,0.0,1,-0.699
falling_after_bolus,23700,201.32,98.0,0.0,0.894,0.0,sedentary,92.0,3.158,2.692,18.5,0.0,0.7,2.22,3.63,0.0,0.0,1,-0.716
falling_after_bolus,24000,197.59,98.0,0.0,1.04,0.0,sedentary,92.0,3.134,2.697,19.0,0.0,0.7,2.28,3.72,0.0,0.0,1,-0.747
falling_after_bolus,24300,193.59,98.0,0.0,1.209,0.0,sedentary,92.0,3.116,2.7,19.5,0.0,0.7,2.34,3.81,0.0,0.0,1,-0.799
falling_after_bolus,24600,189.21,98.0,0.0,1.398,0.0,sedentary,92.0,3.104,2.7,20.0,0.0,0.7,2.4,3.9,0.0,0.0,1,-0.877
falling_after_bolus,24900,184.37,98.0,0.0,1.601,0.0,sedentary,92.0,3.1,2.697,20.5,0.0,0.7,2.46,3.99,0.0,0.0,1,-0.967
falling_after_bolus,25200,179.2,98.0,0.0,1.811,0.0,sedentary,92.0,3.104,2.691,21.0,0.0,0.7,2.52,4.08,0.0,0.0,1,-1.034
falling_after_bolus,25500,174.03,98.0,0.0,2.016,0.0,sedentary,92.0,3.116,2.683,21.5,0.0,0.7,2.58,4.17,0.0,0.0,1,-1.034
falling_after_bolus,25800,169.19,98.0,0.0,2.206,0.0,sedentary,92.0,3.135,2.672,22.0,0.0,0.7,2.64,4.26,0.0,0.0,1,-0.967
falling_after_bolus,26100,164.81,98.0,0.0,2.369,0.0,sedentary,92.0,3.159,2.66,22.5,0.0,0.7,2.7,4.35,0.0,0.0,1,-0.877
falling_after_bolus,26400,160.81,98.0,0.0,2.494,0.0,sedentary,92.0,3.186,2.646,23.0,0.0,0.7,2.76,4.44,0.0,0.0,1,-0.799
falling_after_bolus,26700,157.08,98.0,0.0,2.573,0.0,sedentary,92.0,3.214,2.63,23.5,0.0,0.7,2.82,4.53,0.0,0.0,1,-0.747
falling_after_bolus,27000,153.5,98.0,0.0,2.6,0.0,sedentary,92.0,3.242,2.614,24.0,0.0,0.7,2.88,4.62,0.0,0.0,1,-0.716
falling_after_bolus,27300,150.0,98.0,0.0,2.573,0.0,sedentary,92.0,3.266,2.597,24.5,0.0,0.7,2.94,4.71,0.0,0.0,1,-0.699
falling_after_bolus,27600,146.55,98.0,0.0,2.494,0.0,sedentary,92.0,3.284,2.581,25.0,0.0,0.7,3.0,4.8,0.0,0.0,1,-0.69
falling_after_bolus,27900,143.13,98.0,0.0,2.369,0.0,sedentary,92.0,3.296,2.565,25.5,0.0,0.7,3.06,4.89,0.0,0.0,1,-0.685
falling_after_bolus,28200,139.71,98.0,0.0,2.206,0.0,sedentary,92.0,3.3,2.55,26.0,0.0,0.7,3.12,4.98,0.0,0.0,1,-0.683
falling_after_bolus,28500,136.31,98.0,0.0,2.016,0.0,sedentary,92.0,3.296,2.536,26.5,0.0,0.7,3.18,5.07,0.0,0.0,1,-0.681
falling_after_bolus,28800,132.9,98.0,0.0,1.811,0.0,sedentary,92.0,3.284,2.524,27.0,0.0,0.7,3.24,5.16,0.0,0.0,1,-0.681
falling_after_bolus,29100,129.5,98.0,0.0,1.601,0.0,sedentary,92.0,3.265,2.515,27.5,0.0,0.7,3.3,5.25,0.0,0.0,1,-0.68
falling_after_bolus,29400,126.1,98.0,0.0,1.398,0.0,sedentary,92.0,3.241,2.507,28.0,0.0,0.7,3.36,5.34,0.0,0.0,1,-0.68
falling_after_bolus,29700,122.7,98.0,0.0,1.209,0.0,sedentary,92.0,3.214,2.502,28.5,0.0,0.7,3.42,5.43,0.0,0.0,1,-0.68
falling_after_bolus,30000,119.3,98.0,0.0,1.04,0.0,sedentary,92.0,3.185,2.5,29.0,0.0,0.7,3.48,5.52,0.0,0.0,1,-0.68
falling_after_bolus,30300,115.9,98.0,0.0,0.894,0.0,sedentary,92.0,3.158,2.501,29.5,0.0,0.7,3.54,5.61,0.0,0.0,1,-0.68
falling_after_bolus,30600,112.5,98.0,0.0,0.772,0.0,sedentary,92.0,3.134,2.504,30.0,0.0,0.7,3.6,5.7,0.0,0.0,1,-0.68
falling_after_bolus,30900,109.1,98.0,0.0,0.673,0.0,sedentary,92.0,3.116,2.51,30.5,0.0,0.7,3.66,5.79,0.0,0.0,1,-0.68
falling_after_bolus,31200,105.7,98.0,0.0,0.596,0.0,sedentary,92.0,3.104,2.519,31.0,0.0,0.7,3.72,5.88,0.0,0.0,1,-0.68
falling_after_bolus,31500,102.3,98.0,0.0,0.537,0.0,sedentary,92.0,3.1,2.529,31.5,0.0,0.7,3.78,5.97,0.0,0.0,1,-0.68
falling_after_bolus,31800,98.9,98.0,0.0,0.493,0.0,sedentary,92.0,3.104,2.542,32.0,0.0,0.7,3.84,6.06,0.0,0.0,1,-0.68
falling_after_bolus,32100,95.5,98.0,0.0,0.462,0.0,sedentary,92.0,3.116,2.557,32.5,0.0,0.7,3.9,6.15,0.0,0.0,1,-0.68
exercise_with_iob,32400,165.0,96.0,0.0,2.0,0.0,exercise,90.0,8.0,7.7,40.0,0.0,0.75,1.2,2.4,0.0,0.0,1,0.0
exercise_with_iob,32700,163.51,96.0,0.0,1.968,0.0,exercise,90.0,8.312,7.661,41.0,0.0,0.75,1.22,2.43,0.0,0.0,1,-0.297
exercise_with_iob,33000,162.02,96.0,0.0,1.937,0.0,exercise,90.0,8.574,7.55,42.0,0.0,0.75,1.24,2.46,0.0,0.0,1,-0.299
exercise_with_iob,33300,160.5,96.0,0.0,1.908,0.0,exercise,90.0,8.746,7.378,43.0,0.0,0.75,1.26,2.49,0.0,0.0,1,-0.304
exercise_with_iob,33600,158.95,96.0,0.0,1.88,0.0,exercise,90.0,8.8,7.165,44.0,0.0,0.75,1.28,2.52,0.0,0.0,1,-0.311
exercise_with_iob,33900,157.35,96.0,0.0,1.854,0.0,exercise,90.0,8.727,6.933,45.0,0.0,0.75,1.3,2.55,0.0,0.0,1,-0.319
exercise_with_iob,34200,155.7,96.0,0.0,1.83,0.0,exercise,90.0,8.54,6.709,46.0,0.0,0.75,1.32,2.58,0.0,0.0,1,-0.329
exercise_with_iob,34500,154.0,96.0,0.0,1.807,0.0,exercise,90.0,8.268,6.516,47.0,0.0,0.75,1.34,2.61,0.0,0.0,1,-0.341
exercise_with_iob,34800,152.23,96.0,0.0,1.785,0.0,exercise,90.0,7.953,6.377,48.0,0.0,0.75,1.36,2.64,0.0,0.0,1,-0.354
exercise_with_iob,35100,150.39,96.0,0.0,1.764,0.0,exercise,90.0,7.646,6.307,49.0,0.0,0.75,1.38,2.67,0.0,0.0,1,-0.367
exercise_with_iob,35400,148.49,96.0,0.0,1.744,0.0,exercise,90.0,7.395,6.313,50.0,0.0,0.75,1.4,2.7,0.0,0.0,1,-0.381
exercise_with_iob,35700,146.51,96.0,0.0,1.726,0.0,exercise,90.0,7.239,6.394,51.0,0.0,0.75,1.42,2.73,0.0,0.0,1,-0.395
exercise_with_iob,36000,144.47,96.0,0.0,1.708,0.0,exercise,90.0,7.203,6.542,52.0,0.0,0.75,1.44,2.76,0.0,0.0,1,-0.408
exercise_with_iob,36300,142.37,96.0,0.0,1.691,0.0,exercise,90.0,7.293,6.741,53.0,0.0,0.75,1.46,2.79,0.0,0.0,1,-0.421
exercise_with_iob,36600,140.21,96.0,0.0,1.676,0.0,exercise,90.0,7.495,6.968,54.0,0.0,0.75,1.48,2.82,0.0,0.0,1,-0.432
exercise_with_iob,36900,138.0,96.0,0.0,1.661,0.0,exercise,90.0,7.776,7.199,55.0,0.0,0.75,1.5,2.85,0.0,0.0,1,-0.442
exercise_with_iob,37200,135.74,96.0,0.0,1.647,0.0,exercise,90.0,8.093,7.407,56.0,0.0,0.75,1.52,2.88,0.0,0.0,1,-0.451
exercise_with_iob,37500,133.46,96.0,0.0,1.633,0.0,exercise,90.0,8.395,7.571,57.0,0.0,0.75,1.54,2.91,0.0,0.0,1,-0.457
exercise_with_iob,37800,131.15,96.0,0.0,1.621,0.0,exercise,90.0,8.635,7.672,58.0,0.0,0.75,1.56,2.94,0.0,0.0,1,-0.461
exercise_with_iob,38100,128.84,96.0,0.0,1.609,0.0,exercise,90.0,8.774,7.699,59.0,0.0,0.75,1.58,2.97,0.0,0.0,1,-0.463
exercise_with_iob,38400,126.52,96.0,0.0,1.598,0.0,exercise,90.0,8.791,7.649,60.0,0.0,0.75,1.6,3.0,0.0,0.0,1,-0.463
exercise_with_iob,38700,124.22,96.0,0.0,1.587,0.0,exercise,90.0,8.684,7.528,61.0,0.0,0.75,1.62,3.03,0.0,0.0,1,-0.46
exercise_with_iob,39000,121.95,96.0,0.0,1.577,0.0,exercise,90.0,8.468,7.348,62.0,0.0,0.75,1.64,3.06,0.0,0.0,1,-0.455
exercise_with_iob,39300,119.71,96.0,0.0,1.567,0.0,exercise,90.0,8.178,7.13,63.0,0.0,0.75,1.66,3.09,0.0,0.0,1,-0.448
exercise_with_iob,39600,117.51,96.0,0.0,1.558,0.0,exercise,90.0,7.861,6.898,64.0,0.0,0.75,1.68,3.12,0.0,0.0,1,-0.439
exercise_with_iob,39900,115.36,96.0,0.0,1.55,0.0,exercise,90.0,7.565,6.677,65.0,0.0,0.75,1.7,3.15,0.0,0.0,1,-0.429
exercise_with_iob,40200,113.28,96.0,0.0,1.542,0.0,exercise,90.0,7.338,6.492,66.0,0.0,0.75,1.72,3.18,0.0,0.0,1,-0.417
exercise_with_iob,40500,111.26,96.0,0.0,1.534,0.0,exercise,90.0,7.215,6.362,67.0,0.0,0.75,1.74,3.21,0.0,0.0,1,-0.404
exercise_with_iob,40800,109.3,96.0,0.0,1.527,0.0,exercise,90.0,7.217,6.303,68.0,0.0,0.75,1.76,3.24,0.0,0.0,1,-0.391
exercise_with_iob,41100,107.42,96.0,0.0,1.52,0.0,exercise,90.0,7.342,6.32,69.0,0.0,0.75,1.78,3.27,0.0,0.0,1,-0.377
exercise_with_iob,41400,105.6,96.0,0.0,1.513,0.0,exercise,90.0,7.571,6.413,70.0,0.0,0.75,1.8,3.3,0.0,0.0,1,-0.363
exercise_with_iob,41700,103.85,96.0,0.0,1.507,0.0,exercise,90.0,7.868,6.57,71.0,0.0,0.75,1.82,3.33,0.0,0.0,1,-0.35
exercise_with_iob,42000,102.17,96.0,0.0,1.501,0.0,exercise,90.0,8.185,6.774,72.0,0.0,0.75,1.84,3.36,0.0,0.0,1,-0.337
exercise_with_iob,42300,100.54,96.0,0.0,1.496,0.0,exercise,90.0,8.474,7.003,73.0,0.0,0.75,1.86,3.39,0.0,0.0,1,-0.326
exercise_with_iob,42600,98.95,96.0,0.0,1.491,0.0,exercise,90.0,8.687,7.232,74.0,0.0,0.75,1.88,3.42,0.0,0.0,1,-0.316
exercise_with_iob,42900,97.41,96.0,0.0,1.486,0.0,exercise,90.0,8.792,7.435,75.0,0.0,0.75,1.9,3.45,0.0,0.0,1,-0.308
post_exercise_recovery,43200,93.0,98.0,0.0,1.05,0.0,light,88.0,5.0,4.8,30.0,30.0,0.8,0.8,1.4,5.0,12.0,1,0.0
post_exercise_recovery,43500,94.64,98.0,0.0,1.006,0.0,light,88.0,5.088,4.794,30.5,29.0,0.8,0.81,1.415,5.0,12.0,1,0.327
post_exercise_recovery,43800,96.24,98.0,0.0,0.964,0.0,light,88.0,5.172,4.776,31.0,28.0,0.8,0.82,1.43,5.0,12.0,1,0.321
post_exercise_recovery,44100,97.83,98.0,0.0,0.925,0.0,light,88.0,5.247,4.748,31.5,27.0,0.8,0.83,1.445,5.0,12.0,1,0.317
post_exercise_recovery,44400,99.39,98.0,0.0,0.887,0.0,light,88.0,5.311,4.709,32.0,26.0,0.8,0.84,1.46,5.0,12.0,1,0.312
post_exercise_recovery,44700,100.93,98.0,0.0,0.851,0.0,light,88.0,5.358,4.662,32.5,25.0,0.8,0.85,1.475,5.0,12.0,1,0.309
post_exercise_recovery,45000,102.46,98.0,0.0,0.817,0.0,light,88.0,5.389,4.609,33.0,24.0,0.8,0.86,1.49,5.0,12.0,1,0.305
post_exercise_recovery,45300,103.97,98.0,0.0,0.784,0.0,light,88.0,5.4,4.551,33.5,23.0,0.8,0.87,1.505,5.0,12.0,1,0.302
post_exercise_recovery,45600,105.46,98.0,0.0,0.753,0.0,light,88.0,5.391,4.491,34.0,22.0,0.8,0.88,1.52,5.0,12.0,1,0.3
post_exercise_recovery,45900,106.95,98.0,0.0,0.724,0.0,light,88.0,5.364,4.432,34.5,21.0,0.8,0.89,1.535,5.0,12.0,1,0.297
post_exercise_recovery,46200,108.43,98.0,0.0,0.696,0.0,light,88.0,5.318,4.375,35.0,20.0,0.8,0.9,1.55,5.0,12.0,1,0.295
post_exercise_recovery,46500,109.89,98.0,0.0,0.669,0.0,light,88.0,5.257,4.323,35.5,19.0,0.8,0.91,1.565,5.0,12.0,1,0.293
post_exercise_recovery,46800,111.35,98.0,0.0,0.644,0.0,light,88.0,5.183,4.279,36.0,18.0,0.8,0.92,1.58,5.0,12.0,1,0.292
post_exercise_recovery,47100,112.81,98.0,0.0,0.62,0.0,light,88.0,5.1,4.243,36.5,17.0,0.8,0.93,1.595,5.0,12.0,1,0.29
post_exercise_recovery,47400,114.25,98.0,0.0,0.597,0.0,light,88.0,5.012,4.217,37.0,16.0,0.8,0.94,1.61,5.0,12.0,1,0.289
post_exercise_recovery,47700,115.69,98.0,0.0,0.575,0.0,light,88.0,4.924,4.203,37.5,15.0,0.8,0.95,1.625,5.0,12.0,1,0.288
post_exercise_recovery,48000,117.13,98.0,0.0,0.554,0.0,light,88.0,4.839,4.201,38.0,14.0,0.8,0.96,1.64,5.0,12.0,1,0.287
post_exercise_recovery,48300,118.56,98.0,0.0,0.535,0.0,light,88.0,4.762,4.21,38.5,13.0,0.8,0.97,1.655,5.0,12.0,1,0.286
post_exercise_recovery,48600,119.99,98.0,0.0,0.516,0.0,light,88.0,4.697,4.231,39.0,12.0,0.8,0.98,1.67,5.0,12.0,1,0.286
post_exercise_recovery,48900,121.41,98.0,0.0,0.498,0.0,light,88.0,4.647,4.263,39.5,11.0,0.8,0.99,1.685,5.0,12.0,1,0.285
post_exercise_recovery,49200,122.84,98.0,0.0,0.481,0.0,light,88.0,4.614,4.304,40.0,10.0,0.8,1.0,1.7,5.0,12.0,1,0.284
post_exercise_recovery,49500,124.26,98.0,0.0,0.465,0.0,light,88.0,4.6,4.353,40.5,9.0,0.8,1.01,1.715,5.0,12.0,1,0.284
post_exercise_recovery,49800,125.67,98.0,0.0,0.45,0.0,light,88.0,4.606,4.408,41.0,8.0,0.8,1.02,1.73,5.0,12.0,1,0.283
post_exercise_recovery,50100,127.09,98.0,0.0,0.435,0.0,light,88.0,4.631,4.466,41.5,7.0,0.8,1.03,1.745,5.0,12.0,1,0.283
